time,open,high,low,close,volume
1516911060000.0,0.094882,0.094979,0.094803,0.094891,57.422
1516911120000.0,0.094932,0.094987,0.094882,0.094897,30.749
1516911180000.0,0.094899,0.0949,0.094888,0.094894,24.96
1516911240000.0,0.094899,0.094899,0.094888,0.09489,47.042
1516911300000.0,0.094899,0.095,0.09489,0.095,67.775
1516911360000.0,0.094904,0.095,0.0949,0.09493,18.238
1516911420000.0,0.09491,0.094964,0.094898,0.094899,63.797
1516911480000.0,0.094899,0.095,0.094899,0.094901,55.773
1516911540000.0,0.094912,0.09501,0.094885,0.094922,58.608
1516911600000.0,0.095009,0.09505,0.094916,0.094942,51.309
1516911660000.0,0.095,0.09505,0.094941,0.09504,68.675
1516911720000.0,0.095041,0.09505,0.094951,0.095029,26.193
1516911780000.0,0.095029,0.095048,0.09502,0.095031,54.544
1516911840000.0,0.09504,0.095115,0.095031,0.095114,54.704
1516911900000.0,0.095114,0.095114,0.095051,0.095114,40.173
1516911960000.0,0.095052,0.095125,0.095051,0.095125,35.644
1516912020000.0,0.095125,0.095151,0.095056,0.095128,34.818
1516912080000.0,0.095145,0.095155,0.095061,0.095072,26.435
1516912140000.0,0.095073,0.095187,0.095073,0.095186,25.082
1516912200000.0,0.095186,0.095186,0.09509,0.095181,24.85
1516912260000.0,0.095181,0.095185,0.095071,0.095071,47.891
1516912320000.0,0.095178,0.095179,0.095071,0.095128,17.709
1516912380000.0,0.095114,0.09514,0.095071,0.095073,20.011
1516912440000.0,0.09514,0.095188,0.09514,0.09518,50.233
1516912500000.0,0.095187,0.0952,0.09516,0.095163,37.159
1516912560000.0,0.09516,0.095207,0.095074,0.095198,56.373
1516912620000.0,0.095197,0.095197,0.095072,0.095085,15.797
1516912680000.0,0.095178,0.095321,0.095073,0.09519,66.112
1516912740000.0,0.095111,0.09519,0.09506,0.09507,40.878
1516912800000.0,0.0951,0.095171,0.09506,0.09517,56.526
1516912860000.0,0.095178,0.095285,0.095083,0.095221,43.137
1516912920000.0,0.095221,0.095321,0.09522,0.095226,42.749
1516912980000.0,0.09524,0.09524,0.095132,0.095235,20.157
1516913040000.0,0.095236,0.095239,0.095111,0.095227,24.396
1516913100000.0,0.095227,0.095248,0.09514,0.095224,34.442
1516913160000.0,0.095224,0.0953,0.095138,0.095288,41.542
1516913220000.0,0.095288,0.095307,0.095227,0.095273,32.038
1516913280000.0,0.095273,0.09532,0.095192,0.095317,50.017
1516913340000.0,0.095203,0.09532,0.095129,0.095129,59.24
1516913400000.0,0.095204,0.095229,0.095125,0.095199,33.692
1516913460000.0,0.095151,0.095243,0.095127,0.095243,22.459
1516913520000.0,0.095243,0.095321,0.095151,0.09523,20.994
1516913580000.0,0.095229,0.095421,0.095126,0.095248,61.608
1516913640000.0,0.095246,0.095391,0.095111,0.095136,93.134
1516913700000.0,0.0952,0.0952,0.09505,0.09511,94.498
1516913760000.0,0.095184,0.095185,0.095,0.095051,88.088
1516913820000.0,0.095052,0.095165,0.094989,0.094989,94.487
1516913880000.0,0.094989,0.095164,0.094979,0.095024,54.208
1516913940000.0,0.095024,0.095127,0.094955,0.094993,86.664
1516914000000.0,0.094993,0.095089,0.09474,0.09501,75.014
1516914060000.0,0.094988,0.09502,0.0948,0.094956,62.467
1516914120000.0,0.094954,0.094983,0.094868,0.094961,60.595
1516914180000.0,0.094961,0.094991,0.094901,0.094961,35.019
1516914240000.0,0.09499,0.095,0.0949,0.094991,47.449
1516914300000.0,0.094902,0.095,0.094889,0.09491,101.957
1516914360000.0,0.094995,0.095,0.094911,0.094913,100.685
1516914420000.0,0.094989,0.094989,0.094707,0.094886,70.611
1516914480000.0,0.094801,0.095,0.094796,0.094978,84.164
1516914540000.0,0.095,0.095,0.094806,0.094994,59.301
1516914600000.0,0.094993,0.095057,0.094836,0.094996,103.286
1516914660000.0,0.094988,0.095106,0.094964,0.09501,76.171
1516914720000.0,0.095011,0.095107,0.095004,0.095088,200.933
1516914780000.0,0.09501,0.095088,0.095009,0.09501,138.901
1516914840000.0,0.095084,0.09511,0.095012,0.095108,40.399
1516914900000.0,0.095108,0.095248,0.09502,0.095047,132.099
1516914960000.0,0.095047,0.09525,0.095046,0.095064,55.675
1516915020000.0,0.095069,0.095224,0.095061,0.095061,35.057
1516915080000.0,0.095074,0.095153,0.09505,0.095152,40.588
1516915140000.0,0.095152,0.09516,0.095047,0.09516,77.718
1516915200000.0,0.09516,0.095213,0.095066,0.095112,55.441
1516915260000.0,0.095113,0.0952,0.095016,0.095016,56.042
1516915320000.0,0.095016,0.095142,0.095015,0.095015,148.471
1516915380000.0,0.095015,0.09515,0.095004,0.095109,148.964
1516915440000.0,0.095031,0.095109,0.094911,0.094915,92.362
1516915500000.0,0.094915,0.094961,0.09479,0.094885,53.483
1516915560000.0,0.094806,0.095002,0.094805,0.0949,46.718
1516915620000.0,0.094901,0.094967,0.094744,0.094744,155.561
1516915680000.0,0.094744,0.094749,0.094664,0.094664,95.39
1516915740000.0,0.094694,0.0948,0.094669,0.094799,81.883
1516915800000.0,0.094798,0.094798,0.09465,0.09465,64.896
1516915860000.0,0.094664,0.094749,0.09463,0.094634,63.615
1516915920000.0,0.094733,0.094733,0.09461,0.09463,31.502
1516915980000.0,0.094669,0.09475,0.09462,0.094712,33.561
1516916040000.0,0.094711,0.094819,0.094645,0.094695,52.946
1516916100000.0,0.094715,0.094715,0.09461,0.094705,21.366
1516916160000.0,0.094703,0.094796,0.09465,0.094748,42.254
1516916220000.0,0.094673,0.09483,0.094652,0.094752,35.732
1516916280000.0,0.094752,0.09483,0.094725,0.094798,82.093
1516916340000.0,0.094701,0.094726,0.09461,0.0947,28.868
1516916400000.0,0.094633,0.094799,0.094594,0.094696,54.196
1516916460000.0,0.0946,0.094727,0.094561,0.094582,45.64
1516916520000.0,0.094657,0.094728,0.094602,0.094723,51.1
1516916580000.0,0.094711,0.094728,0.094648,0.094671,82.084
1516916640000.0,0.094728,0.094747,0.094613,0.094617,78.846
1516916700000.0,0.094655,0.094754,0.094619,0.094626,126.474
1516916760000.0,0.094623,0.094785,0.094617,0.094652,101.028
1516916820000.0,0.094652,0.094799,0.094652,0.09476,57.048
1516916880000.0,0.09476,0.094802,0.094658,0.094799,68.995
1516916940000.0,0.094798,0.094801,0.094679,0.09475,51.393
1516917000000.0,0.09475,0.09475,0.09465,0.094652,31.393
1516917060000.0,0.094709,0.094724,0.094652,0.0947,80.909
1516917120000.0,0.094722,0.0948,0.094656,0.094656,44.036
1516917180000.0,0.094726,0.094743,0.094652,0.094698,119.401
1516917240000.0,0.094698,0.094753,0.094681,0.094681,89.927
1516917300000.0,0.094749,0.094749,0.094623,0.094624,51.764
1516917360000.0,0.094624,0.09465,0.094617,0.094638,65.896
1516917420000.0,0.094621,0.09465,0.094617,0.094649,71.143
1516917480000.0,0.094617,0.094649,0.094558,0.094603,78.714
1516917540000.0,0.094603,0.094712,0.094568,0.094689,32.937
1516917600000.0,0.094684,0.094684,0.09455,0.094578,36.789
1516917660000.0,0.094662,0.094712,0.094582,0.094711,26.527
1516917720000.0,0.09471,0.094714,0.094594,0.09465,83.347
1516917780000.0,0.094649,0.094706,0.094587,0.094706,31.095
1516917840000.0,0.094706,0.094706,0.094598,0.0946,27.652
1516917900000.0,0.094689,0.0947,0.0946,0.094651,27.669
1516917960000.0,0.0947,0.0947,0.09465,0.094698,49.953
1516918020000.0,0.094695,0.0947,0.094601,0.09467,30.221
1516918080000.0,0.09464,0.0947,0.0946,0.094692,130.915
1516918140000.0,0.094611,0.0947,0.0946,0.094689,54.317
1516918200000.0,0.094628,0.094691,0.094628,0.094678,61.378
1516918260000.0,0.094678,0.094688,0.094649,0.09466,53.232
1516918320000.0,0.094661,0.094688,0.094649,0.094687,58.119
1516918380000.0,0.094661,0.094688,0.094649,0.094677,58.408
1516918440000.0,0.09467,0.094688,0.094587,0.09468,48.702
1516918500000.0,0.094688,0.094705,0.09465,0.094705,78.893
1516918560000.0,0.094704,0.094749,0.094649,0.094649,47.616
1516918620000.0,0.094676,0.094769,0.094641,0.094677,21.574
1516918680000.0,0.094769,0.09482,0.09457,0.09482,98.113
1516918740000.0,0.09482,0.09498,0.094801,0.094835,56.098
1516918800000.0,0.094835,0.094964,0.094835,0.094844,68.377
1516918860000.0,0.094844,0.094904,0.094801,0.094904,37.629
1516918920000.0,0.094904,0.094933,0.094827,0.094925,14.729
1516918980000.0,0.094924,0.094925,0.094801,0.094801,27.402
1516919040000.0,0.094807,0.094807,0.094664,0.094799,32.734
1516919100000.0,0.094799,0.09481,0.094687,0.094687,25.991
1516919160000.0,0.094691,0.094787,0.09468,0.094711,22.167
1516919220000.0,0.094721,0.094788,0.094602,0.094696,30.006
1516919280000.0,0.094697,0.094725,0.09461,0.094708,27.553
1516919340000.0,0.094639,0.094719,0.094611,0.094694,30.942
1516919400000.0,0.094611,0.094694,0.0946,0.09465,53.434
1516919460000.0,0.09465,0.094696,0.0946,0.094662,51.018
1516919520000.0,0.094662,0.094662,0.09457,0.0946,69.187
1516919580000.0,0.0946,0.094649,0.094557,0.094579,39.069
1516919640000.0,0.094648,0.094675,0.094577,0.094675,37.611
1516919700000.0,0.094675,0.094688,0.094605,0.094669,34.595
1516919760000.0,0.094615,0.094689,0.094615,0.094615,36.293
1516919820000.0,0.09461,0.094699,0.094604,0.094607,21.645
1516919880000.0,0.094607,0.094699,0.094604,0.094699,64.135
1516919940000.0,0.094699,0.094724,0.094617,0.094655,30.633
1516920000000.0,0.0947,0.094743,0.094655,0.09466,32.462
1516920060000.0,0.09472,0.094789,0.09466,0.094758,24.076
1516920120000.0,0.094789,0.094789,0.094583,0.094709,47.19
1516920180000.0,0.094704,0.094706,0.094587,0.0947,25.99
1516920240000.0,0.094616,0.094793,0.094616,0.094661,37.964
1516920300000.0,0.094662,0.094776,0.094618,0.094618,45.837
1516920360000.0,0.094618,0.094715,0.094618,0.094618,36.525
1516920420000.0,0.094618,0.094649,0.094575,0.094642,104.294
1516920480000.0,0.094642,0.094699,0.094577,0.094699,66.482
1516920540000.0,0.094644,0.094699,0.094601,0.09469,7.769
1516920600000.0,0.094679,0.094699,0.094576,0.094619,36.643
1516920660000.0,0.094677,0.094776,0.094619,0.094776,63.856
1516920720000.0,0.09479,0.09479,0.094701,0.094713,65.053
1516920780000.0,0.09479,0.09485,0.094733,0.094849,48.538
1516920840000.0,0.09483,0.09485,0.094746,0.094746,29.488
1516920900000.0,0.09484,0.09484,0.0947,0.09476,39.363
1516920960000.0,0.09476,0.09488,0.09476,0.094804,55.587
1516921020000.0,0.094804,0.094888,0.094804,0.094882,29.595
1516921080000.0,0.094882,0.0949,0.094761,0.094859,47.565
1516921140000.0,0.094859,0.094864,0.094837,0.094838,42.722
1516921200000.0,0.094838,0.094864,0.094601,0.094749,72.095
1516921260000.0,0.094749,0.0948,0.094674,0.0948,25.993
1516921320000.0,0.0948,0.094864,0.094734,0.094864,42.585
1516921380000.0,0.094864,0.094864,0.094819,0.094864,35.771
1516921440000.0,0.094822,0.094889,0.094803,0.094889,49.639
1516921500000.0,0.094889,0.094899,0.09455,0.094808,66.433
1516921560000.0,0.094807,0.094849,0.094687,0.094781,16.46
1516921620000.0,0.094781,0.094809,0.094619,0.094809,48.318
1516921680000.0,0.094809,0.094848,0.09479,0.094799,27.359
1516921740000.0,0.094846,0.094866,0.094716,0.0948,38.205
1516921800000.0,0.0948,0.094866,0.094733,0.0948,28.025
1516921860000.0,0.0948,0.094867,0.0948,0.0948,35.176
1516921920000.0,0.09486,0.09486,0.094602,0.094823,53.76
1516921980000.0,0.094669,0.094753,0.094575,0.094625,42.596
