<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDA.US,D,20171115,000000,210.15,210.2,206.07,208.21,12621805,0
NVDA.US,D,20171116,000000,211.18,212.4,209.46,209.82,11082762,0
NVDA.US,D,20171117,000000,212.12,213.55,208.97,209.57,12981282,0
NVDA.US,D,20171120,000000,210.19,212.77,208.73,212.28,9956871,0
NVDA.US,D,20171121,000000,213.88,214.7,212.6,214.23,10043598,0
NVDA.US,D,20171122,000000,215.33,215.33,211.96,213.28,8979308,0
NVDA.US,D,20171124,000000,213.93,215.33,212.95,215.29,4553902,0
NVDA.US,D,20171127,000000,215.64,215.68,212.36,212.49,10642392,0
NVDA.US,D,20171128,000000,212.7,213.08,206.65,209.07,12898621,0
NVDA.US,D,20171129,000000,208.39,208.5,189.75,194.85,35148865,0
NVDA.US,D,20171130,000000,197.66,201.11,195.14,199.16,20734968,0
NVDA.US,D,20171201,000000,197.77,198.58,190.98,196.17,20408976,0
NVDA.US,D,20171204,000000,198.5,198.75,183.09,185.22,31215242,0
NVDA.US,D,20171205,000000,181,191.21,179.18,186.29,24705614,0
NVDA.US,D,20171206,000000,184.27,188.66,183.43,187.79,11695514,0
NVDA.US,D,20171207,000000,190.48,192.11,188.64,190.51,13498524,0
NVDA.US,D,20171208,000000,192.51,193.28,189.67,190.01,11623240,0
NVDA.US,D,20171211,000000,190.58,193.28,189.94,193.16,9344688,0
NVDA.US,D,20171212,000000,191.41,192.34,188.42,189.36,11428891,0
NVDA.US,D,20171213,000000,191.01,191.06,184.45,184.75,13936358,0
NVDA.US,D,20171214,000000,184.49,187.87,183.19,185.03,11009205,0
NVDA.US,D,20171215,000000,186.79,190.89,184.19,190.12,16848473,0
NVDA.US,D,20171218,000000,191.71,196.5,190.52,196.38,11985448,0
NVDA.US,D,20171219,000000,196.01,196.22,193.46,194.6,9361787,0
NVDA.US,D,20171220,000000,196.19,196.55,193.05,195.24,7269544,0
NVDA.US,D,20171221,000000,195.43,196.43,194.04,194.38,7570273,0
NVDA.US,D,20171222,000000,192.9,194.14,189.77,193.77,11736315,0
NVDA.US,D,20171226,000000,191.54,196.24,190.34,195.93,8928109,0
NVDA.US,D,20171227,000000,195.39,198.42,194.8,195.61,8284788,0
NVDA.US,D,20171228,000000,196.6,197.84,195.64,195.89,6046018,0
NVDA.US,D,20171229,000000,196.92,196.92,192.01,192.01,7036142,0
NVDA.US,D,20180102,000000,194.27,197.96,193,197.81,8886398,0
NVDA.US,D,20180103,000000,202.53,212.05,202.18,210.82,22937669,0
NVDA.US,D,20180104,000000,214.09,216.37,211.04,211.94,14666569,0
NVDA.US,D,20180105,000000,212.54,215.24,209.44,213.75,14543309,0
