<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20100311,000000,27.684,27.889,27.62,27.889,116926750,0
AAPL.US,D,20100312,000000,28.079,28.162,27.917,28.023,119955164,0
AAPL.US,D,20100315,000000,27.889,27.889,27.239,27.682,142293228,0
AAPL.US,D,20100316,000000,27.722,27.824,27.519,27.756,128979124,0
AAPL.US,D,20100317,000000,27.802,28.004,27.613,27.714,130072067,0
AAPL.US,D,20100318,000000,27.691,27.827,27.529,27.783,98662413,0
AAPL.US,D,20100319,000000,27.846,27.857,27.359,27.487,161404129,0
AAPL.US,D,20100322,000000,27.269,27.948,27.227,27.797,131683688,0
AAPL.US,D,20100323,000000,27.908,28.295,27.712,28.242,173842255,0
AAPL.US,D,20100324,000000,28.178,28.47,28.136,28.363,172639751,0
AAPL.US,D,20100325,000000,28.552,28.566,27.981,28.031,156625732,0
AAPL.US,D,20100326,000000,28.322,28.683,28.266,28.557,184970230,0
AAPL.US,D,20100329,000000,28.804,28.923,28.644,28.739,152205887,0
AAPL.US,D,20100330,000000,29.27,29.371,28.971,29.167,151708940,0
AAPL.US,D,20100331,000000,29.167,29.263,28.997,29.063,124115924,0
AAPL.US,D,20100401,000000,29.391,29.527,28.786,29.182,173962862,0
AAPL.US,D,20100405,000000,29.062,29.496,29.034,29.495,196830291,0
AAPL.US,D,20100406,000000,29.466,29.71,29.311,29.625,128728573,0
AAPL.US,D,20100407,000000,29.647,29.918,29.518,29.754,181261753,0
AAPL.US,D,20100408,000000,29.73,29.874,29.434,29.673,165332913,0
AAPL.US,D,20100409,000000,29.864,29.914,29.736,29.902,96399782,0
AAPL.US,D,20100412,000000,30.042,30.061,29.905,29.962,96152456,0
AAPL.US,D,20100413,000000,29.955,30.029,29.819,29.981,88040484,0
AAPL.US,D,20100414,000000,30.321,30.402,30.184,30.387,116516810,0
AAPL.US,D,20100415,000000,30.417,30.798,30.362,30.783,108471677,0
AAPL.US,D,20100416,000000,30.793,31.055,30.243,30.595,216605407,0
AAPL.US,D,20100419,000000,30.489,30.658,29.899,30.555,163556194,0
AAPL.US,D,20100420,000000,30.822,30.823,30.047,30.249,207810451,0
AAPL.US,D,20100421,000000,31.94,32.186,31.625,32.057,283119812,0
AAPL.US,D,20100422,000000,31.932,32.988,31.685,32.957,228572388,0
AAPL.US,D,20100423,000000,33.02,33.66,33.018,33.492,229792117,0
AAPL.US,D,20100426,000000,33.635,33.696,33.168,33.33,0,0
AAPL.US,D,20100427,000000,33.018,33.126,32.218,32.408,204427356,0
AAPL.US,D,20100428,000000,32.523,32.65,31.711,32.353,218781887,0
AAPL.US,D,20100429,000000,32.531,33.394,32.404,33.222,161181189,0
AAPL.US,D,20100430,000000,33.359,33.459,32.278,32.29,156444150,0
AAPL.US,D,20100503,000000,32.701,33.13,32.509,32.941,130942631,0
AAPL.US,D,20100504,000000,32.459,32.56,31.75,31.988,208715923,0
AAPL.US,D,20100505,000000,31.275,31.927,30.762,31.659,254582091,0
AAPL.US,D,20100506,000000,31.411,31.939,24.641,30.456,369342546,0
AAPL.US,D,20100507,000000,30.175,30.492,27.852,29.169,484008023,0
AAPL.US,D,20100510,000000,31.06,31.493,30.738,31.41,283638958,0
AAPL.US,D,20100511,000000,31.167,32.142,30.981,31.726,244983527,0
AAPL.US,D,20100512,000000,32.11,32.542,31.991,32.415,188741463,0
AAPL.US,D,20100513,000000,32.556,32.772,31.71,31.951,172939210,0
AAPL.US,D,20100514,000000,31.565,31.721,30.856,31.388,218779085,0
AAPL.US,D,20100517,000000,31.433,31.682,30.637,31.438,219958166,0
AAPL.US,D,20100518,000000,31.789,31.976,30.95,31.21,225171243,0
AAPL.US,D,20100519,000000,30.853,31.28,30.281,30.713,295839016,0
AAPL.US,D,20100520,000000,29.855,30.157,29.21,29.402,369174247,0
AAPL.US,D,20100521,000000,28.648,30.236,28.611,29.967,353236825,0
AAPL.US,D,20100524,000000,30.578,31.028,30.458,30.514,217491104,0
AAPL.US,D,20100525,000000,29.666,30.514,29.333,30.325,301965327,0
AAPL.US,D,20100526,000000,30.942,31.182,30.145,30.19,245208806,0
AAPL.US,D,20100527,000000,31.006,31.397,30.807,31.33,190994378,0
AAPL.US,D,20100528,000000,32.051,32.081,31.33,31.767,235256126,0
AAPL.US,D,20100601,000000,32.118,32.892,32.025,32.255,252422735,0
AAPL.US,D,20100602,000000,32.738,32.745,32.197,32.645,198348417,0
AAPL.US,D,20100603,000000,32.796,32.841,32.205,32.541,187533206,0
AAPL.US,D,20100604,000000,31.965,32.39,31.491,31.655,218440202,0
AAPL.US,D,20100607,000000,31.953,32.048,30.985,31.032,255629581,0
AAPL.US,D,20100608,000000,31.334,31.387,30.381,30.833,288716033,0
AAPL.US,D,20100609,000000,31.111,31.155,29.989,30.077,246190026,0
AAPL.US,D,20100610,000000,30.275,31.037,29.952,30.983,223543721,0
AAPL.US,D,20100611,000000,30.691,31.394,30.591,31.351,157285962,0
AAPL.US,D,20100614,000000,31.671,32.048,31.413,31.445,173823375,0
AAPL.US,D,20100615,000000,31.609,32.137,31.598,32.117,168516842,0
AAPL.US,D,20100616,000000,32.278,33.114,32.232,33.048,225957707,0
AAPL.US,D,20100617,000000,33.477,33.752,33.33,33.623,251678190,0
AAPL.US,D,20100618,000000,33.667,34.01,33.568,33.893,226348045,0
AAPL.US,D,20100621,000000,34.349,34.506,33.233,33.414,223200132,0
AAPL.US,D,20100622,000000,33.667,34.129,33.576,33.865,206647934,0
AAPL.US,D,20100623,000000,33.955,33.967,33.133,33.51,221653740,0
AAPL.US,D,20100624,000000,33.51,33.788,33.159,33.267,206181978,0
AAPL.US,D,20100625,000000,33.397,33.425,32.873,32.984,157906791,0
AAPL.US,D,20100628,000000,33.017,33.361,32.712,33.182,168873498,0
AAPL.US,D,20100629,000000,32.696,32.696,31.448,31.681,326672862,0
AAPL.US,D,20100630,000000,31.749,31.904,30.922,31.107,213188576,0
AAPL.US,D,20100701,000000,31.427,31.511,30.08,30.732,295178384,0
AAPL.US,D,20100702,000000,31.002,31.031,30.077,30.538,200365335,0
AAPL.US,D,20100706,000000,30.538,31.266,30.446,30.751,177441481,0
AAPL.US,D,20100707,000000,30.994,32.001,30.887,31.987,188500020,0
AAPL.US,D,20100708,000000,32.472,32.512,31.522,31.92,212857859,0
AAPL.US,D,20100709,000000,31.77,32.143,31.559,32.108,125059481,0
AAPL.US,D,20100712,000000,31.973,32.383,31.518,31.82,162284598,0
AAPL.US,D,20100713,000000,31.686,31.71,30.477,31.143,342923425,0
AAPL.US,D,20100714,000000,30.816,31.633,30.794,31.256,234462740,0
AAPL.US,D,20100715,000000,30.704,31.78,30.581,31.096,236946233,0
AAPL.US,D,20100716,000000,31.297,31.534,30.722,30.907,299815781,0
AAPL.US,D,20100719,000000,30.885,30.904,29.633,30.372,295566706,0
AAPL.US,D,20100720,000000,29.987,31.278,29.681,31.155,305624979,0
AAPL.US,D,20100721,000000,32.77,32.789,31.411,31.439,341903480,0
AAPL.US,D,20100722,000000,31.874,32.155,31.575,32.032,186160001,0
AAPL.US,D,20100723,000000,31.809,32.204,31.694,32.148,153918367,0
AAPL.US,D,20100726,000000,32.153,32.168,31.873,32.065,120370095,0
AAPL.US,D,20100727,000000,32.237,32.745,32.193,32.662,167715309,0
AAPL.US,D,20100728,000000,32.611,32.899,32.186,32.272,149911492,0
AAPL.US,D,20100729,000000,32.242,32.479,31.673,31.923,185793150,0
AAPL.US,D,20100730,000000,31.627,32.118,31.524,31.814,129411522,0
AAPL.US,D,20100802,000000,32.208,32.473,32.108,32.383,123141306,0
AAPL.US,D,20100803,000000,32.383,32.556,32.084,32.395,120260278,0
AAPL.US,D,20100804,000000,32.494,32.685,32.194,32.521,121352706,0
AAPL.US,D,20100805,000000,32.336,32.547,32.222,32.364,83470212,0
AAPL.US,D,20100806,000000,32.118,32.337,31.861,32.167,128398953,0
AAPL.US,D,20100809,000000,32.337,32.423,32.103,32.371,87306134,0
AAPL.US,D,20100810,000000,32.137,32.209,31.854,32.082,130396465,0
AAPL.US,D,20100811,000000,31.557,31.619,30.895,30.94,178467342,0
AAPL.US,D,20100812,000000,30.495,31.302,30.44,31.141,154271745,0
AAPL.US,D,20100813,000000,31.043,31.154,30.804,30.806,102320283,0
AAPL.US,D,20100816,000000,30.639,30.922,30.497,30.628,91741944,0
AAPL.US,D,20100817,000000,30.931,31.491,30.817,31.162,121924017,0
AAPL.US,D,20100818,000000,31.233,31.496,31.114,31.298,97668720,0
